County name,Child Mo_1
Emporia city,179
Petersburg city,153
Franklin city,147
Essex County,137
Sussex County,134
Greensville County,120
Danville city,118
Nottoway County,109
Lunenburg County,99
Floyd County,98
Portsmouth city,98
Richmond city,97
Pittsylvania County,95
Buckingham County,90
Southampton County,90
Accomack County,89
Mecklenburg County,84
Roanoke city,83
Hopewell city,83
Norfolk city,81
Halifax County,80
Appomattox County,80
Henry County,75
Hampton city,72
Newport News city,71
Winchester city,71
Washington County,70
Lynchburg city,70
Warren County,69
Franklin County,67
Bristol city,67
Louisa County,67
Powhatan County,66
King William County,63
Smyth County,63
Dinwiddie County,62
Page County,62
King George County,62
Suffolk city,62
New Kent County,60
Orange County,59
Rockingham County,59
Amherst County,58
Fredericksburg city,58
Waynesboro city,57
Colonial Heights city,55
Henrico County,54
Campbell County,53
Augusta County,52
Chesterfield County,52
Prince George County,52
Charlottesville city,51
Chesapeake city,51
Staunton city,51
Russell County,50
Virginia Beach city,50
Wythe County,49
Tazewell County,49
Spotsylvania County,49
Hanover County,48
Alexandria city,48
Pulaski County,46
Manassas city,46
Stafford County,45
Gloucester County,45
Fauquier County,45
Roanoke County,45
Prince Edward County,45
Fairfax city,44
James City County,43
Albemarle County,43
Harrisonburg city,42
Culpeper County,42
Salem city,41
Isle of Wight County,40
Caroline County,39
Bedford County,38
Prince William County,38
York County,38
Shenandoah County,37
Wise County,34
Frederick County,34
Montgomery County,31
Arlington County,30
Fairfax County,30
Loudoun County,24
Poquoson city,0
Surry County,0
King and Queen County,0
Middlesex County,0
Rappahannock County,0
Covington city,0
Buchanan County,0
Alleghany County,0
Northumberland County,0
Craig County,0
Falls Church city,0
Goochland County,0
Greene County,0
Patrick County,0
Madison County,0
Charlotte County,0
Radford city,0
Buena Vista city,0
Grayson County,0
Giles County,0
Scott County,0
Charles City County,0
Manassas Park city,0
Carroll County,0
Bath County,0
Cumberland County,0
Lexington city,0
Clarke County,0
Dickenson County,0
Amelia County,0
Botetourt County,0
Norton city,0
Williamsburg city,0
Westmoreland County,0
Rockbridge County,0
Nelson County,0
Martinsville city,0
Fluvanna County,0
Mathews County,0
Galax city,0
Bland County,0
Lee County,0
Northampton County,0
Highland County,0
Brunswick County,0
Lancaster County,0
Richmond County,0
