District ID,,State ID,,AD,,Indicator ID,,Category ID,,Indicator Direction,,Change Availability,,Prevalence Change Category ,
Values,Label,Values,Label,Values,Label,Values,Label,Values,Label,Values,Label,Values,Label,Values,Label
2,Alluri Sitharama Raju,37,Andhra Pradesh,0,No,1,Population with BPL cards,1,Socio-Economic Profile,1,Positive,1,Yes,1,Highest Improvement
3,Anakapalli,37,Andhra Pradesh,0,No,2,Acute Respiratory Infection [All Children],2,Health Care,2,Negative,2,No,2,Improvement
4,Ananthapuramu,37,Andhra Pradesh,1,Yes,3,Acute Respiratory Infection [Children Getting Treatment - Facility],3,Maternal Health and Family Planning,,,,,3,Worsened
5,Annamayya,37,Andhra Pradesh,0,No,4,Diarrhoea  [Received ORS],4,Morbidity and Mortality,,,,,4,Extremely Worsened
6,Bapatla,37,Andhra Pradesh,0,No,5,Diarrhoea  [Received Zinc],5,Nutrition [Clinical/Anthropometry],,,,,,
7,Chittoor,37,Andhra Pradesh,0,No,6,Diarrhoea Treatment [Facility],6,Nutrition [Diet],,,,,,
8,Dr. B.R. Ambedkar Konaseema,37,Andhra Pradesh,0,No,7,DPT Vaccination [3 Doses],7,Social Infrastructure,,,,,,
9,East Godavari,37,Andhra Pradesh,1,Yes,8,Full Vaccination ,,,,,,,,
10,Eluru,37,Andhra Pradesh,0,No,9,Full Vaccination [Vaccination Card],,,,,,,,
11,Guntur,37,Andhra Pradesh,0,No,10,Health Insurance [Any],,,,,,,,
12,Kakinada,37,Andhra Pradesh,0,No,11,Hepatitis B Vaccine [3 Doses],,,,,,,,
13,Krishna,37,Andhra Pradesh,0,No,12,ICDS Benefits [Children],,,,,,,,
14,Kurnool,37,Andhra Pradesh,0,No,13,Low Birth Weight,,,,,,,,
15,Nandyal,37,Andhra Pradesh,0,No,14,Measles-Containing Vaccine [First Dose],,,,,,,,
16,Ntr,37,Andhra Pradesh,0,No,15,Measles-Containing Vaccine [Second Dose],,,,,,,,
17,Palnadu,37,Andhra Pradesh,1,Yes,16,Polio Vaccination [3 Doses],,,,,,,,
18,Parvathipuram Manyam,37,Andhra Pradesh,0,No,18,Rotavirus Vaccine [3 Doses],,,,,,,,
19,Prakasam,37,Andhra Pradesh,0,No,19,Vitamin A Dose,,,,,,,,
20,Sri Potti Sriramulu Nellore,37,Andhra Pradesh,0,No,20,Zero Dose [Child Immunization],,,,,,,,
21,Sri Sathya Sai,37,Andhra Pradesh,0,No,21,Antenatal Care Visit [Four or More],,,,,,,,
22,Srikakulam,37,Andhra Pradesh,0,No,22,Antenatal Care Visit [First Trimester],,,,,,,,
23,Tirupati,37,Andhra Pradesh,0,No,23,Birth Registration,,,,,,,,
24,Visakhapatnam,37,Andhra Pradesh,0,No,24,Birth Weight Recorded,,,,,,,,
25,Vizianagaram,37,Andhra Pradesh,0,No,25,Caesarean Section Delivery,,,,,,,,
26,West Godavari,37,Andhra Pradesh,0,No,26,Caesarean Section in Private Sector,,,,,,,,
27,Y.S.R.,37,Andhra Pradesh,0,No,27,Caesarean Section in Public Sector,,,,,,,,
28,Muzaffarabad,1,Jammu & Kashmir,0,No,28,Childbirths in Public Facility,,,,,,,,
29,Kolkata,19,West Bengal,0,No,29,Condom,,,,,,,,
30,Kupwara,1,Jammu & Kashmir,0,No,30,Family Planning [Any Methods by Women],,,,,,,,
31,Badgam,1,Jammu & Kashmir,0,No,31,Family Planning [Modern] ,,,,,,,,
494,Belgaum,29,Karnataka,0,No,32,Family Planning [Unmet Need] ,,,,,,,,
33,Punch,1,Jammu & Kashmir,0,No,33,Family Planning Services Quality [Family Planning Counselling],,,,,,,,
35,Kathua,1,Jammu & Kashmir,0,No,34,Female Sterilization,,,,,,,,
34,Rajouri,1,Jammu & Kashmir,0,No,35,Family Planning Services Quality [Side Effects Counselling],,,,,,,,
36,Baramula,1,Jammu & Kashmir,0,No,36,Home Delivery by Skilled Health Personnel,,,,,,,,
37,Bandipore,1,Jammu & Kashmir,0,No,37,Injectables,,,,,,,,
38,Srinagar,1,Jammu & Kashmir,0,No,38,Institutional Childbirth,,,,,,,,
39,Ganderbal,1,Jammu & Kashmir,1,Yes,39,Iron Folic Acid  [100 days or More],,,,,,,,
40,Pulwama,1,Jammu & Kashmir,0,No,40,Iron Folic Acid [180 days or More],,,,,,,,
41,Shupiyan,1,Jammu & Kashmir,0,No,41,IUD/PPIUD,,,,,,,,
42,Anantnag,1,Jammu & Kashmir,0,No,42,Male Sterilization,,,,,,,,
43,Kulgam,1,Jammu & Kashmir,0,No,43,Maternal Care Quality [Postpartum],,,,,,,,
